Name MC MP
Bitcoin 111,206,254,562,800 55.01%
Ethereum 33,059,637,687,248 16.35%
Tether 10,250,933,607,424 5.07%
BN 8,117,313,693,994 4.02%
Solana 5,915,165,875,645 2.93%
USD 3,058,416,686,100 1.51%
XR 2,628,574,266,580 1.30%
Dogecoin 1,945,289,752,547 0.96%
Toncoin 1,923,211,956,572 0.95%
Cardano 1,488,296,492,003 0.74%
Shiba 1,227,784,854,640 0.61%
Avalanche 1,198,761,869,186 0.59%
TRON 1,017,247,919,017 0.50%
Polkadot 909,015,720,670 0.45%
Bitcoin 816,017,136,693 0.40%
Chainlink 759,446,019,774 0.38%
NEAR 706,442,101,464 0.35%
Polygon 623,550,188,727 0.31%
Litecoin 563,186,659,406 0.28%
Internet 509,344,899,209 0.25%
UNUS 508,721,064,556 0.25%
Da 494,193,797,566 0.24%
Uniswap 402,899,873,003 0.20%
Rende 375,042,022,646 0.19%
Ethereum 369,062,003,603 0.18%
Heder 356,638,886,865 0.18%
First 354,611,939,728 0.18%
Apto 337,345,218,461 0.17%
Cosmo 322,583,923,928 0.16%
Pep 313,869,223,438 0.16%
Mantl 304,476,732,889 0.15%
Crono 303,383,604,731 0.15%
Filecoi 292,423,949,267 0.14%
Stella 285,821,085,702 0.14%
OK 277,231,811,187 0.14%
Immutabl 274,785,888,898 0.14%
Stack 274,998,226,877 0.14%
Kasp 262,366,991,536 0.13%
dogwifha 259,465,697,547 0.13%
Optimis 249,479,946,684 0.12%
Arbitru 248,211,463,776 0.12%
Bittenso 239,189,974,548 0.12%
The 234,422,562,392 0.12%
VeChai 233,890,316,068 0.12%
Arweav 230,855,677,930 0.11%
Make 230,485,084,478 0.11%
Moner 220,617,823,097 0.11%
Su 216,232,823,600 0.11%
Injectiv 199,352,404,640 0.10%
Theta 196,066,993,139 0.10%
THORChai 185,971,347,554 0.09%
Fanto 172,116,874,842 0.09%
Fetch.a 169,415,393,421 0.08%
Celesti 158,104,518,279 0.08%
Lido 155,389,281,159 0.08%
FLOK 150,102,218,389 0.07%
Bitget 141,282,337,128 0.07%
Algoran 140,911,488,653 0.07%
Cor 137,203,890,435 0.07%
Bon 136,768,716,991 0.07%
Se 134,142,021,834 0.07%
Jupite 127,483,386,732 0.06%
Flo 122,455,160,424 0.06%
Ethen 121,392,688,649 0.06%
Gal 119,799,275,107 0.06%
Aav 118,349,903,311 0.06%
Bitcoin 113,368,980,073 0.06%
Bea 108,954,843,445 0.05%
Quan 108,710,464,597 0.05%
dYdX 108,180,909,981 0.05%
SingularityNE 106,610,261,817 0.05%
BitTorrent 105,932,832,316 0.05%
Akash 105,369,995,401 0.05%
Worldcoi 104,638,856,729 0.05%
Wormhol 101,230,377,044 0.05%
Flar 101,131,727,225 0.05%
Chili 99,917,610,443 0.05%
Pendl 99,704,347,927 0.05%
Ond 99,354,156,576 0.05%
Ne 98,868,671,734 0.05%
Multivers 98,547,678,309 0.05%
Axie 95,681,200,126 0.05%
KuCoin 91,949,592,843 0.05%
The 89,823,752,704 0.04%
eCas 85,134,708,249 0.04%
EO 83,435,857,171 0.04%
Starkne 82,593,158,508 0.04%
Tezo 82,657,960,911 0.04%
AIOZ 84,501,429,680 0.04%
JasmyCoi 81,976,400,279 0.04%
Min 81,222,626,758 0.04%
Roni 80,652,590,848 0.04%
Conflu 77,986,829,943 0.04%
Syntheti 76,918,140,627 0.04%
Decentralan 74,441,506,631 0.04%
ORD 72,811,744,153 0.04%
Gnosi 71,719,542,156 0.04%
Nervos 69,324,193,856 0.03%
GateToke 69,181,317,735 0.03%
ApeCoi 68,678,021,620 0.03%
